PLAYERS,LEAGUE,POSITION,TEAM,MATCHES_PLAYED,MINUTES_PLAYED,DISTANCE_COVERED,DISTANCE_COVERED_IN_POSSESSION,DISTANCE_COVERED_NOT_IN_POSSESSION,TOP_SPEED,TOTAL_GOALS_SCORED,OFFSIDES,SOLO_RUNS_INTO_AREA,LOST_BALLS,DELIVERIES_IN_PENALTY_AREA,TACKLES,TACKLES_SUFFERED,TACKLES_WON,ATTEMPTED_CLEARANCES,CLEARANCE_RATE,SAVES,BLOCKS,RECOVERED_BALLS,YELLOW_CARDS,SECOND_YELLOW_CARD_AND_RED_CARD,RED_CARDS,FOULS_COMMITTED,FOULS_SUFFERED,FOULS_CAUSING_A_PENALTY,ASSISTS,PENALTIES_SCORED,GOALS_SCORED_WITH_THE_LEFT_FOOT,GOALS_SCORED_WITH_THE_RIGHT_FOOT,HEADED_GOALS,SHOTS,ATTEMPTS_ON_TARGET,ATTEMPTS_OFF-TARGET,WOODWORK,TOTAL_PASSES,PASSES_COMPLETED,PASSES_COMPLETED_PERCENT,CROSSES,CROSSES_COMPLETED,CROSSES_COMPLETED_PERCENT,CORNERS,THROW-INS,THROW-INS_COMPLETED
Vedad IBISEVIC,WC Players,F,Bosnia-Hercegovina,3,144,18.2,7.7,5,26.7,1,0,0,7,0,1,1,0,0,,0,0,3,0,0,0,0,1,0,0,0,1,0,0,5,3,2,0,38,29,0.76,0,0,,0,0,0
Luis SUAREZ,WC Players,F,Uruguay,2,178,18.1,5.3,6.3,28.7,2,3,0,17,4,5,3,1,1,1,0,0,2,0,0,0,7,2,0,0,0,0,1,1,12,9,3,0,70,33,0.47,19,2,0.11,9,3,2
Moussa DEMBELE,WC Players,M,Belgium,2,155,18.1,7,6.1,29.4,,,,,,,,0,0,,0,2,7,1,0,0,5,5,0,,,,,,1,0,1,0,96,81,0.84,0,0,,0,0,0
Danijel PRANJIC,WC Players,D,Croatia,2,164,18.1,6.4,5.6,27.9,,,,,,,,1,3,1,0,0,5,0,0,0,1,1,0,,,,,,2,1,1,0,96,72,0.75,6,2,0.33,6,10,9
Jordan HENDERSON,WC Players,M,England,2,160,18.1,6.9,6.7,27.4,,,,,,,,,,,,,,0,0,0,1,1,0,,,,,,3,3,0,0,115,100,0.87,2,0,,0,0,0
Medhi LACEN,WC Players,M,Algeria,3,152,18,4.3,8.2,26.6,,,,,,,,2,0,,0,1,12,0,0,0,2,2,0,,,,,,,,,,72,55,0.76,3,0,,0,1,1
Joel MATIP,WC Players,M,Cameroon,2,180,18,5.1,6.7,30.9,1,0,0,12,1,2,0,1,4,1,0,3,5,0,0,0,3,1,0,0,0,0,1,0,2,2,0,0,60,42,0.7,0,0,,0,0,0
Sime VRSALJKO,WC Players,D,Croatia,2,148,17.7,5.7,6.9,29.6,,,,,,,,1,3,1,0,1,12,0,0,0,5,1,0,,,,,,,,,,103,71,0.69,2,0,,0,26,3
Michael BABATUNDE,WC Players,M,Nigeria,2,141,17.5,6,7.8,26.5,,,,,,,,1,0,,0,0,6,0,0,0,3,2,0,,,,,,2,2,0,0,56,37,0.66,4,1,0.25,2,0,0
Fernando TORRES,WC Players,F,Spain,3,144,17.2,7.1,5.5,30.3,1,4,2,11,2,0,2,,,,,,,0,0,0,2,3,0,0,0,0,1,0,2,2,0,0,50,29,0.58,1,0,,0,0,0
Wilfried BONY,WC Players,F,Ivory Coast,3,167,17,6.6,4.9,27,2,1,0,12,0,2,2,1,3,1,0,0,1,0,0,0,5,1,0,0,0,0,1,1,6,2,4,0,40,28,0.7,0,0,,0,0,0
Senad LULIC,WC Players,M,Bosnia-Hercegovina,2,148,16.7,6.1,6.9,29.4,,,,,,,,1,0,,0,0,6,0,0,0,2,1,0,,,,,,2,2,0,0,68,51,0.75,6,0,,0,7,5
Andreas SAMARIS,WC Players,M,Greece,2,136,16.5,5.1,6.2,28.7,1,0,1,10,1,5,4,2,3,0.67,0,2,9,1,0,0,2,4,0,0,0,0,1,0,3,3,0,0,79,66,0.84,0,0,,0,0,0
WILLIAM,WC Players,F,Brazil,2,134,16.5,5.8,6.1,25.8,,,,,,,,1,0,,0,0,8,0,0,0,7,1,0,,,,,,,,,,105,90,0.86,0,0,,0,0,0
Marco VERRATTI,WC Players,M,Italy,2,132,16.5,6.9,5.5,28.7,,,,,,,,2,0,,0,2,5,0,0,0,4,4,0,,,,,,,,,,110,102,0.93,0,0,,0,2,0
Jordy CLASIE,WC Players,M,Netherlands,2,148,16.4,5.6,6.6,24.1,,,,,,,,1,2,1,0,0,9,0,0,0,2,1,0,,,,,,1,0,1,0,86,74,0.86,1,1,1,0,0,0
Alexander MEJIA,WC Players,M,Colombia,4,144,16.3,4.8,6.7,29.4,,,,,,,,2,3,0.67,0,1,8,0,0,0,4,0,0,,,,,,,,,,52,37,0.71,0,0,,0,0,0
Guillermo OCHOA,WC Players,G,Mexico,4,360,16.2,4.6,5.1,22.5,,,,,,,,0,6,0.84,10,0,0,,,,,,,,,,,,,,,,105,75,0.71,0,0,,0,34,20
Jose CUBERO,WC Players,M,Costa Rica,4,115,16,3.7,7.3,27.6,,,,,,,,1,0,,0,0,3,1,0,0,3,1,0,,,,,,,,,,39,26,0.67,1,0,,0,0,0
Didier ZOKORA,WC Players,D,Ivory Coast,2,180,16,6.2,5.4,30.3,,,,,,,,0,12,0.92,0,0,9,2,0,0,1,0,0,,,,,,,,,,122,112,0.92,0,0,,0,1,0
Victor MOSES,WC Players,F,Nigeria,2,141,15.8,6.4,4.4,31.4,,,,,,,,1,1,1,0,1,2,0,0,0,4,3,0,,,,,,2,2,0,0,40,25,0.63,7,0,,2,1,0
Jordan AYEW,WC Players,F,Ghana,3,116,15.8,5.6,4.9,31.2,,,,,,,,0,0,,0,0,3,1,0,0,3,1,0,,,,,,5,5,0,0,37,28,0.76,4,2,0.5,0,0,0
Adrian RAMOS,WC Players,F,Colombia,3,139,15.5,5.2,4.6,30.5,,,,,,,,0,0,,0,0,1,0,0,0,6,2,0,,,,,,4,2,2,0,55,34,0.62,0,0,,0,0,0
Antonio CANDREVA,WC Players,M,Italy,2,136,15.4,6.7,5.2,30,,,,,,,,,,,,,,,,,,,,,,,,,5,2,3,1,63,42,0.67,8,1,0.13,2,0,0
Oliver BOZANIC,WC Players,M,Australia,2,111,15.4,5.5,6.3,24.1,,,,,,,,0,1,1,0,0,3,0,0,0,2,2,0,,,,,,1,1,0,0,53,36,0.68,2,0,,1,1,1
DeAndre YEDLIN,WC Players,D,USA,3,112,15.4,5.3,5.8,31.6,,,,,,,,1,0,,0,0,5,0,0,0,0,1,0,,,,,,,,,,66,48,0.73,12,2,0.17,0,9,9
Santiago ARIAS,WC Players,D,Colombia,3,124,15.1,5.2,6.3,31.4,,,,,,,,0,1,1,0,2,10,0,0,0,1,0,0,,,,,,2,1,1,0,68,56,0.82,1,0,,0,15,8
LEE Keunho,WC Players,F,South Korea,3,104,15,5.7,4.7,28.1,1,0,0,12,1,1,0,0,0,,0,0,3,0,0,0,0,1,0,1,0,0,1,0,7,4,3,0,48,30,0.63,3,1,0.33,0,2,2
Masoud SHOJAEI,WC Players,M,Iran,3,123,14.9,3.2,6.8,27.6,,,,,,,,0,1,1,0,1,2,1,0,0,6,7,0,,,,,,1,0,1,1,33,18,0.55,2,1,0.5,0,1,1
Felipe CAICEDO,WC Players,F,Ecuador,3,153,14.8,5.2,4.9,31.1,,,,,,,,1,0,,0,0,3,0,0,0,2,1,0,,,,,,1,1,0,0,50,29,0.58,0,0,,0,1,0
Asmir BEGOVIC,WC Players,G,Bosnia-Hercegovina,3,270,14.8,5.4,5.1,16.6,,,,,,,,0,1,1,13,0,0,,,,,,,,,,,,,,,,69,53,0.77,0,0,,0,22,8
Andrey ESHCHENKO,WC Players,D,Russia,2,118,14.8,5.3,5.7,29.2,,,,,,,,2,2,0.5,0,0,7,0,0,0,1,0,0,,,,,,3,2,1,0,92,72,0.78,5,0,,0,17,16
Shkodran MUSTAFI,WC Players,D,Germany,3,131,14.6,6.4,4.2,32.9,,,,,,,,0,1,1,0,0,2,0,0,0,1,0,0,,,,,,1,1,0,0,81,65,0.8,5,0,,0,12,6
Jeremain LENS,WC Players,F,Netherlands,4,127,14.6,5.1,4.7,30.3,,,,,,,,1,0,,0,0,2,0,0,0,9,5,0,,,,,,4,3,1,0,41,23,0.56,1,0,,0,0,0
Didier DROGBA,WC Players,F,Ivory Coast,3,136,14.5,5.3,4.1,30.2,,,,,,,,2,4,0.75,0,0,2,1,0,0,6,6,0,,,,,,3,2,1,0,47,21,0.45,2,1,0.5,0,0,0
Danny WELBECK,WC Players,F,England,2,132,14.4,5.7,4.9,28.7,,,,,,,,0,1,1,0,0,3,0,0,0,1,3,0,,,,,,1,0,1,0,62,46,0.74,0,0,,0,0,0
PEPE,WC Players,D,Portugal,2,127,14.4,4.7,5.2,27.7,,,,,,,,0,3,1,0,0,14,0,0,1,4,3,0,,,,,,,,,,72,57,0.79,0,0,,0,0,0
Vincent ABOUBAKAR,WC Players,F,Cameroon,2,142,14.1,4.3,5,29.4,,,,,,,,1,0,,0,0,3,0,0,0,1,1,0,,,,,,5,2,3,0,39,29,0.74,1,0,,0,0,0
Izet HAJROVIC,WC Players,M,Bosnia-Hercegovina,2,128,14.1,5.8,5.4,28.3,,,,,,,,,,,,,,0,0,0,2,3,0,,,,,,5,4,1,0,57,41,0.72,3,1,0.33,0,3,1
Ricardo COSTA,WC Players,D,Portugal,2,134,14.1,4.6,5.8,27.2,,,,,,,,1,2,,0,3,8,0,0,0,3,2,0,,,,,,,,,,75,67,0.89,0,0,,0,0,0
Mateo KOVACIC,WC Players,M,Croatia,3,111,14,4.6,5.3,29,,,,,,,,1,0,,0,0,2,0,0,0,1,1,0,,,,,,1,0,1,0,59,47,0.8,0,0,,0,0,0
Emilio IZAGUIRRE,WC Players,D,Honduras,2,136,13.9,3.6,6.5,29.1,,,,,,,,0,7,1,0,0,6,0,0,0,2,0,0,,,,,,,,,,63,44,0.7,3,0,,0,11,6
Juan Carlos GARCIA,WC Players,D,Honduras,2,134,13.9,5.7,4.5,31.1,,,,,,,,3,2,0.5,0,0,7,0,0,0,1,3,0,,,,,,1,0,1,0,103,82,0.8,3,1,0.33,0,14,13
Yuya OSAKO,WC Players,F,Japan,2,124,13.7,5,4.4,27.4,,,,,,,,,,,,,,0,0,0,3,3,0,,,,,,3,2,1,0,28,19,0.68,2,1,0.5,0,0,0
Nacer CHADLI,WC Players,M,Belgium,4,100,13.7,5.4,4.5,31.6,,,,,,,,0,0,,0,0,3,0,0,0,5,0,0,,,,,,4,3,1,0,55,44,0.8,1,0,,0,0,0
Emmanuel BADU,WC Players,M,Ghana,2,102,13.6,4.3,5.6,30.5,,,,,,,,1,1,1,0,0,3,0,0,0,1,3,0,,,,,,2,0,2,0,44,38,0.86,0,0,,0,0,0
Tino Sven SUSIC,WC Players,M,Bosnia-Hercegovina,2,105,13.5,6,3.8,29.4,,,,,,,,1,1,1,0,1,4,0,0,0,2,1,0,,,,,,1,1,0,0,76,57,0.75,6,2,0.33,1,0,0
Konstantinos MITROGLOU,WC Players,F,Greece,3,123,13.4,4.8,4.4,28.8,,,,,,,,,,,,,,0,0,0,1,0,0,,,,,,5,4,1,0,22,17,0.77,0,0,,0,0,0
Diego FORLAN,WC Players,F,Uruguay,2,113,13.1,4,4.6,27.4,,,,,,,,,,,,,,0,0,0,1,0,0,,,,,,4,1,3,0,47,32,0.68,6,0,,3,0,0
Maksim KANUNNIKOV,WC Players,F,Russia,2,99,13.1,4.9,4.7,31.1,,,,,,,,1,2,1,0,0,7,0,0,0,4,2,0,,,,,,2,2,0,0,37,24,0.65,3,0,,0,3,1
PARK Chuyoung,WC Players,F,South Korea,2,113,13,4.9,4.4,24.9,,,,,,,,1,0,,0,0,1,0,0,0,4,1,0,,,,,,1,1,0,0,38,27,0.71,1,0,,0,1,1
Jose Maria BASANTA,WC Players,D,Argentina,2,104,13,4.5,4,32.7,,,,,,,,1,5,0.8,0,0,7,0,0,0,3,1,0,,,,,,,,,,60,45,0.75,2,1,0.5,0,15,11
Randall BRENES,WC Players,F,Costa Rica,3,105,12.9,3.8,5,26.9,,,,,,,,0,1,1,0,0,2,0,0,0,4,0,0,,,,,,3,1,2,0,38,26,0.68,5,1,0.2,2,2,2
Aurelien CHEDJOU,WC Players,D,Cameroon,2,136,12.9,3.3,4.9,28.7,,,,,,,,1,6,1,0,0,12,0,0,0,1,1,0,,,,,,2,1,1,0,64,49,0.77,0,0,,0,0,0
Michael ARROYO,WC Players,M,Ecuador,2,102,12.9,3.8,5.2,30.5,,,,,,,,1,0,,0,0,4,0,0,0,2,1,0,,,,,,3,1,2,0,50,33,0.66,2,0,,0,6,4
Diego COSTA,WC Players,F,Spain,2,126,12.9,5.9,3.5,25.4,,,,,,,,,,,,,,0,0,0,1,2,0,,,,,,4,2,2,0,30,22,0.73,2,2,1,0,0,0
Alexandre SONG,WC Players,M,Cameroon,2,119,12.8,3.8,4.9,25.8,,,,,,,,,,,,,,0,0,1,3,3,0,,,,,,1,1,0,0,58,51,0.88,3,2,0.67,2,1,1
Fernando MUSLERA,WC Players,G,Uruguay,4,360,12.8,3.1,4,20.7,,,,,,,,0,1,1,10,0,0,1,0,0,0,1,0,,,,,,,,,,88,53,0.6,0,0,,0,37,11
Vincent ENYEAMA,WC Players,G,Nigeria,4,360,12.7,3.7,4.8,20.3,,,,,,,,0,3,1,21,0,0,0,0,0,0,1,0,,,,,,,,,,113,74,0.65,0,0,,0,41,18
Alireza HAGHIGHI,WC Players,G,Iran,3,270,12.7,3,4.8,20.6,,,,,,,,0,4,0.75,12,0,0,0,0,0,0,1,0,,,,,,,,,,76,36,0.47,0,0,,0,43,14
Wilson PALACIOS,WC Players,M,Honduras,2,133,12.5,4.6,4.9,25.8,,,,,,,,1,2,1,0,0,5,0,1,0,3,8,1,,,,,,2,1,1,0,105,92,0.88,1,0,,0,1,1
Marcos URENA,WC Players,F,Costa Rica,4,102,12.5,3.6,4.7,30.9,1,0,4,15,1,1,1,0,0,,0,1,2,0,0,0,3,1,0,0,0,0,1,0,3,3,0,0,31,14,0.45,0,0,,0,0,0
Rais MBOLHI,WC Players,G,Algeria,4,390,12.4,3.5,4.9,22,,,,,,,,0,6,1,23,0,0,0,0,0,0,1,0,,,,,,,,,,130,55,0.42,0,0,,0,38,11
Adam LALLANA,WC Players,M,England,3,91,12.3,5,3.8,31.2,,,,,,,,0,0,,0,0,7,1,0,0,2,2,0,,,,,,,,,,48,32,0.67,2,1,0.5,0,1,1
Thiago MOTTA,WC Players,M,Italy,3,94,12.2,4.7,4.5,24.9,,,,,,,,,,,,,,0,0,0,0,3,0,,,,,,1,0,1,0,87,78,0.9,0,0,,0,0,0
Morgan SCHNEIDERLIN,WC Players,M,France,1,90,12.2,4.9,3.9,28.7,,,,,,,,1,0,,0,1,9,0,0,0,0,1,0,,,,,,1,0,1,0,73,65,0.89,0,0,,0,0,0
Juan QUINTERO,WC Players,M,Colombia,3,93,12,4,4.1,24.9,1,0,0,9,2,0,2,,,,,,,0,0,0,1,1,0,0,0,0,0,0,3,2,1,0,46,31,0.67,5,1,0.2,3,0,0
Aleksandr KERZHAKOV,WC Players,F,Russia,3,101,12,4.5,4.2,29.6,1,2,0,5,0,2,1,0,0,,0,0,0,0,0,0,1,2,0,0,0,0,1,0,4,3,1,0,17,6,0.35,1,0,,0,0,0
Ben HALLORAN,WC Players,F,Australia,3,87,12,4.5,4.6,28.7,,,,,,,,0,1,1,0,0,2,0,0,0,1,5,0,,,,,,,,,,34,17,0.5,2,0,,0,4,1
Carlos SALCIDO,WC Players,D,Mexico,2,91,11.9,3.6,5.1,25.4,,,,,,,,3,1,1,0,0,5,0,0,0,3,0,0,,,,,,2,1,1,0,36,28,0.78,0,0,,0,0,0
Pedro RODRIGUEZ,WC Players,F,Spain,2,104,11.9,5.1,3.5,29.4,,,,,,,,0,0,,0,0,2,0,0,0,2,6,0,,,,,,1,1,0,0,54,33,0.61,1,0,,0,0,0
Carlos GRUEZO,WC Players,M,Ecuador,2,97,11.7,3.4,5,25.9,,,,,,,,,,,,,,0,0,0,2,1,0,,,,,,1,0,1,0,28,21,0.75,0,0,,0,0,0
KIM Shinwook,WC Players,F,South Korea,2,99,11.6,4.2,3.5,25.2,,,,,,,,,,,,,,0,0,0,1,4,0,,,,,,2,1,1,0,25,17,0.68,0,0,,0,0,0
Nikica JELAVIC,WC Players,F,Croatia,2,94,11.5,3.5,4.4,27.4,,,,,,,,0,0,,0,0,0,0,0,0,4,0,0,,,,,,1,1,0,0,26,12,0.46,1,1,1,0,0,0
Mark MILLIGAN,WC Players,M,Australia,1,90,11.3,3,5.6,26.7,,,,,,,,1,2,1,0,1,7,1,0,0,2,0,0,,,,,,1,1,0,0,38,30,0.79,0,0,,0,1,0
Ruben AMORIM,WC Players,M,Portugal,1,90,11.3,4.2,3.8,27.8,,,,,,,,,,,,,,0,0,0,2,1,0,,,,,,1,0,1,0,53,39,0.74,0,0,,0,2,1
BETO,WC Players,G,Portugal,2,179,11.2,3.7,3.9,25.9,,,,,,,,0,4,1,5,0,0,,,,,,,,,,,,,,,,65,51,0.78,0,0,,0,20,16
Lucas DIGNE,WC Players,D,France,1,90,11.2,4.9,3.4,29.4,,,,,,,,,,,,,,0,0,0,1,4,0,,,,,,,,,,76,56,0.74,4,1,0.25,1,6,5
Jorge VALDIVIA,WC Players,M,Chile,3,93,11.2,5.1,2.7,27,1,1,0,6,2,5,0,,,,,,,0,0,0,1,3,0,0,0,0,1,0,2,2,0,0,58,45,0.78,1,0,,0,0,0
Xavi HERNANDEZ,WC Players,M,Spain,1,90,11.1,4.7,3.6,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,73,0.94,2,1,0.5,3,1,0
Ciro IMMOBILE,WC Players,F,Italy,2,88,11,4.1,3.4,29.4,,,,,,,,,,,,,,0,0,0,3,1,0,,,,,,2,1,1,0,23,14,0.61,1,0,,0,0,0
Jack WILSHERE,WC Players,M,England,2,90,10.9,4.6,3.5,27.8,,,,,,,,1,0,,0,0,7,0,0,0,1,2,0,,,,,,,,,,58,44,0.76,0,0,,0,1,1
Ermin BICAKCIC,WC Players,D,Bosnia-Hercegovina,1,90,10.9,3.9,4.4,29.2,,,,,,,,0,2,1,0,1,2,,,,,,,,,,,,,,,,45,30,0.67,4,0,,0,2,0
Frank LAMPARD,WC Players,M,England,1,90,10.9,4.2,3.6,23.5,,,,,,,,0,0,,0,0,8,0,0,0,1,2,0,,,,,,1,1,0,0,78,64,0.82,2,0,,0,0,0
Avdija VRSAJEVIC,WC Players,M,Bosnia-Hercegovina,1,90,10.8,4.7,3,32.1,1,0,1,10,2,1,4,0,0,,0,0,4,0,0,0,1,0,0,0,0,0,1,0,2,1,1,0,56,42,0.75,5,2,0.4,0,7,7
Eiji KAWASHIMA,WC Players,G,Japan,3,270,10.8,3.3,3.9,20.5,,,,,,,,0,2,1,8,0,0,,,,,,,,,,,,,,,,82,65,0.79,0,0,,0,35,17
Charles ITANDJE,WC Players,G,Cameroon,3,270,10.7,2.7,3.8,21.6,,,,,,,,0,7,0.86,15,0,0,0,0,0,0,1,0,,,,,,,,,,87,52,0.6,0,0,,0,29,9
Santi CAZORLA,WC Players,M,Spain,2,82,10.6,4.6,3.5,26.3,,,,,,,,1,0,,0,0,6,0,0,0,0,2,0,,,,,,3,3,0,0,62,53,0.85,5,2,0.4,3,0,0
JUANFRAN,WC Players,D,Spain,1,90,10.6,4.8,3.4,29.6,,,,,,,,1,2,1,0,0,7,0,0,0,1,2,0,,,,,,,,,,75,52,0.69,3,0,,0,11,11
Gianluigi BUFFON,WC Players,G,Italy,2,180,10.5,3.5,3,22.5,,,,,,,,0,4,0.25,8,0,0,,,,,,,,,,,,,,,,62,56,0.9,0,0,,0,18,15
Mattia DE SCIGLIO,WC Players,D,Italy,1,90,10.5,3.9,3.2,26.9,,,,,,,,1,0,,0,1,2,1,0,0,3,0,0,,,,,,,,,,48,31,0.65,9,2,0.22,0,6,6
Bacary SAGNA,WC Players,D,France,1,90,10.4,4.3,3.2,27.6,,,,,,,,0,1,1,0,0,1,0,0,0,0,1,0,,,,,,,,,,65,50,0.77,7,3,0.43,0,7,7
Anthony VANDEN BORRE,WC Players,D,Belgium,1,90,10.4,3.6,4,25.6,,,,,,,,,,,,,,0,0,0,1,1,0,,,,,,,,,,58,40,0.69,1,0,,0,14,12
Javier HERNANDEZ,WC Players,F,Mexico,4,75,10.3,3.3,3.1,30.9,1,1,0,16,0,0,4,,,,,,,0,0,0,2,6,0,0,0,0,0,1,3,1,2,0,28,16,0.57,3,0,,0,1,1
Kevin Prince BOATENG,WC Players,F,Ghana,2,83,10.3,3.8,3.9,30.9,,,,,,,,,,,,,,0,0,0,2,0,0,,,,,,3,0,3,0,39,28,0.72,1,0,,0,3,1
MAXWELL,WC Players,D,Brazil,1,90,10.2,4,3.2,30,,,,,,,,0,2,1,0,0,3,0,0,0,1,0,0,,,,,,1,0,1,0,54,44,0.81,2,0,,0,11,11
Landry NGUEMO,WC Players,M,Cameroon,1,90,10.2,3.2,3.9,24.1,,,,,,,,1,0,,0,0,4,0,0,0,2,6,0,,,,,,2,0,2,0,52,44,0.85,0,0,,0,0,0
Igor AKINFEEV,WC Players,G,Russia,3,270,10.1,3.5,3.3,24.2,,,,,,,,0,5,1,10,0,0,,,,,,,,,,,,,,,,82,56,0.68,0,0,,0,16,7
Nicolas LOMBAERTS,WC Players,D,Belgium,1,90,10.1,3.2,3.8,25.4,,,,,,,,0,0,,0,1,4,0,0,0,2,0,0,,,,,,,,,,37,30,0.81,0,0,,0,0,0
Noel VALLADARES,WC Players,G,Honduras,3,270,10,2.7,3.4,15,,,,,,,,0,3,1,11,0,0,,,,,,,,,,,,,,,,75,57,0.76,1,0,,0,20,9
Dany NOUNKEU,WC Players,D,Cameroon,2,88,10,3.1,4.1,31.6,,,,,,,,0,1,,0,0,6,1,0,0,2,0,0,,,,,,2,0,2,0,51,39,0.76,3,0,,0,7,1
Raul ALBIOL,WC Players,D,Spain,1,90,10,4.3,3.4,23.9,,,,,,,,1,2,1,0,0,7,,,,,,,,,,,,,,,,45,34,0.76,0,0,,0,0,0
Haris MEDUNJANIN,WC Players,M,Bosnia-Hercegovina,2,80,9.9,4.2,3.7,26.3,,,,,,,,1,0,,0,0,7,1,0,0,1,0,0,,,,,,2,0,2,0,100,86,0.86,1,1,1,0,0,0
Steve VON BERGEN,WC Players,D,Switzerland,2,99,9.8,3.7,3.4,30.5,,,,,,,,,,,,,,0,0,0,0,2,0,,,,,,,,,,44,32,0.73,0,0,,0,0,0
Stipe PLETIKOSA,WC Players,G,Croatia,3,270,9.8,3,3.2,17,,,,,,,,0,2,1,5,0,0,0,0,0,0,1,0,,,,,,,,,,85,60,0.71,0,0,,0,35,16
Daniel OPARE,WC Players,D,Ghana,1,90,9.7,3.8,2.9,28.5,,,,,,,,1,0,,0,0,9,0,0,0,3,2,0,,,,,,,,,,89,58,0.65,8,2,0.25,0,18,0
Roy MILLER,WC Players,D,Costa Rica,1,90,9.7,2.8,3.9,28.5,,,,,,,,1,1,1,0,0,6,0,0,0,2,1,0,,,,,,,,,,48,28,0.58,0,0,,0,2,2
Chris SMALLING,WC Players,D,England,1,90,9.7,3.5,3.2,28.5,,,,,,,,0,0,,0,0,6,0,0,0,4,0,0,,,,,,,,,,50,39,0.78,0,0,,0,0,0
Allan NYOM,WC Players,D,Cameroon,1,90,9.7,3,3.7,29.4,,,,,,,,0,1,1,0,3,3,0,0,0,0,1,0,,,,,,1,1,0,0,39,29,0.74,4,1,0.25,0,5,3
Phil JONES,WC Players,D,England,1,90,9.6,3.4,3.2,26.7,,,,,,,,1,2,1,0,0,6,0,0,0,2,3,0,,,,,,,,,,58,38,0.66,0,0,,0,10,9
Alexander DOMINGUEZ,WC Players,G,Ecuador,3,270,9.6,2.6,3.3,21,,,,,,,,0,2,1,18,0,0,0,0,0,0,1,0,,,,,,,,,,94,56,0.6,0,0,,0,36,8
DANTE,WC Players,D,Brazil,1,90,9.5,3.4,4.1,25.2,,,,,,,,0,3,1,0,0,8,1,0,0,1,0,0,,,,,,,,,,62,55,0.89,1,0,,0,1,1
Javi MARTINEZ,WC Players,D,Spain,1,90,9.5,4,2.8,31.6,,,,,,,,0,3,1,0,0,4,0,0,0,1,1,0,,,,,,,,,,50,46,0.92,0,0,,0,0,0
Luke SHAW,WC Players,D,England,1,90,9.5,3.5,3.3,31.1,,,,,,,,1,0,,0,0,7,0,0,0,1,3,0,,,,,,1,1,0,0,57,43,0.75,1,0,,0,5,5
Eder BALANTA,WC Players,D,Colombia,1,90,9.5,3.1,3.8,27.6,,,,,,,,,,,,,,0,0,0,2,0,0,,,,,,,,,,32,21,0.66,0,0,,0,0,0
Masato MORISHIGE,WC Players,D,Japan,1,90,9.5,2.7,4.1,26.3,,,,,,,,,,,,,,1,0,0,2,1,0,,,,,,,,,,35,29,0.83,0,0,,0,1,0
Alan DZAGOEV,WC Players,M,Russia,3,61,9.5,3.8,3,27.2,,,,,,,,,,,,,,0,0,0,2,0,0,,,,,,2,1,1,0,34,26,0.76,0,0,,0,0,0
Ignazio ABATE,WC Players,D,Italy,1,90,9.4,3.7,3,31.5,,,,,,,,,,,,,,0,0,0,3,2,0,,,,,,,,,,39,30,0.77,2,0,,0,4,4
Yasuhito ENDO,WC Players,M,Japan,2,80,9.4,3.5,3,29.1,,,,,,,,1,0,,0,0,1,0,0,0,2,0,0,,,,,,2,2,0,0,87,76,0.87,4,0,,1,1,1
Carlos VALDES,WC Players,D,Colombia,1,90,9.3,3,3.9,25.5,,,,,,,,0,2,1,0,1,9,0,0,0,2,0,0,,,,,,,,,,36,26,0.72,0,0,,0,0,0
Leonardo BONUCCI,WC Players,D,Italy,1,90,9.2,3.1,2.9,26.1,,,,,,,,0,0,,0,1,6,0,0,0,0,1,0,,,,,,,,,,59,47,0.8,0,0,,0,1,1
Gerard PIQUE,WC Players,D,Spain,1,90,9.2,3.3,3.3,26.5,,,,,,,,0,2,0.5,0,0,4,0,0,0,1,1,0,,,,,,,,,,68,57,0.84,0,0,,0,0,0
Ramon AZEEZ,WC Players,M,Nigeria,1,69,9.1,4.1,2.3,25.7,,,,,,,,,,,,,,0,0,0,0,2,0,,,,,,,,,,52,40,0.77,4,0,,1,0,0
Aron JOHANNSSON,WC Players,F,USA,1,67,9.1,2.6,3.5,26.5,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,15,12,0.8,0,0,,0,0,0
Henri BEDIMO,WC Players,D,Cameroon,1,90,9,2.8,3.6,30.9,,,,,,,,1,0,,0,0,6,0,0,0,1,2,0,,,,,,,,,,43,36,0.84,2,1,0.5,0,13,13
Ioannis FETFATZIDIS,WC Players,M,Greece,2,74,9,2.8,3.7,29.1,,,,,,,,0,0,,0,0,6,0,0,0,3,0,0,,,,,,,,,,28,19,0.68,2,0,,1,2,2
Diego LUGANO,WC Players,D,Uruguay,1,90,9,2.6,2.6,22.7,,,,,,,,0,2,1,0,0,3,2,0,0,1,3,0,,,,,,,,,,43,34,0.79,0,0,,0,1,0
Gabriel PALETTA,WC Players,D,Italy,1,90,9,3.4,3.8,26.1,,,,,,,,0,5,0.6,0,0,2,,,,,,,,,,,,,,,,49,43,0.88,0,0,,0,1,0
James MILNER,WC Players,M,England,1,76,8.8,3.3,2.9,28,,,,,,,,0,0,,0,0,5,0,0,0,1,0,0,,,,,,,,,,34,21,0.62,1,0,,0,3,3
Riyad MAHREZ,WC Players,F,Algeria,1,71,8.7,2.1,4.2,23.9,,,,,,,,,,,,,,0,0,0,3,3,0,,,,,,1,0,1,0,22,12,0.55,2,0,,1,0,0
